,Actual pupil (z),Predicted pupil (z),Predicted pupil - luminance (z),Predicted pupil - contrast (z)
255,-0.383399329669018,-0.6974534315056372,-0.8399248800523971,0.3724921215550546
256,-0.38546583256407246,-0.6998132630286683,-0.8540007997420339,0.42296359730148575
257,-0.33791766745176416,-0.7014496687389192,-0.8676035276457078,0.474588858598754
258,-0.3302228372717393,-0.702603314218953,-0.8805490437790005,0.5254590201571813
259,-0.3105048865979981,-0.7033592080032809,-0.892696692828722,0.5745916657575882
260,-0.28157611922042,-0.7036908814371916,-0.9039155513864665,0.6215780935879553
261,-0.2462490869092326,-0.7035729555342497,-0.9141434381899392,0.6663031181300162
262,-0.20733642409477776,-0.702915534707472,-0.9232769316138808,0.7087721516030339
263,-0.16765006259641466,-0.7014109980694251,-0.9309700055076833,0.7489602000042693
264,-0.13000267817454386,-0.6986350119483415,-0.9367082412036125,0.786659191486134
265,-0.09720711190979801,-0.6946126965130351,-0.9404064305813075,0.8214004161038846
266,-0.07207529562153543,-0.6954860671254504,-0.948587621006991,0.8525263291358055
267,-0.0574198637400984,-0.7233510441411346,-0.9850324225901521,0.878988264503234
268,-0.06722438672568436,-0.8089994249919977,-1.0821364116174466,0.8961096430342368
269,-0.12715297068226394,-0.9698291111825963,-1.2548210647704157,0.8866638103923502
270,-0.3441357746629831,-1.2009380633691709,-1.4894417000757696,0.8148091513545296
271,-0.5735175960140291,-1.4818558016108547,-1.75400837383153,0.6385992268296725
272,-0.8256309492106741,-1.785509957393252,-2.0147026046804517,0.3391474366576152
273,-1.001283695290304,-2.083626777110706,-2.246945963588333,-0.05698152967953788
274,-1.1521384066292801,-2.3504358631881948,-2.438602303317516,-0.4813360212285977
275,-1.2864610948078206,-2.5665600981670202,-2.588058496319747,-0.850071067956498
276,-1.385653233770435,-2.7220612201380043,-2.7002700313316135,-1.0952447399285958
277,-1.5158429161588665,-2.8169679189292682,-2.7827678167909355,-1.1844898247262405
278,-1.5902370203808274,-2.8592778257333884,-2.8428798768508745,-1.123636816533106
279,-1.7038946796088232,-2.8622859763313646,-2.887161856908403,-0.9467466167522456
280,-1.7307592172445312,-2.842066143488149,-2.921997853515057,-0.7018910235276972
281,-1.7596902577752938,-2.814700870882955,-2.953405360959764,-0.4390601040301848
282,-1.7886212983060563,-2.7934621293167914,-2.985737260906895,-0.20224928400617406
283,-1.7762222809357295,-2.7857055671304742,-3.019210354479765,-0.025066387702899977
284,-1.7844882925159475,-2.790804921317874,-3.048143985377828,0.07150703992098274
285,-1.7183601998742044,-2.8021894589068665,-3.0634616773999244,0.07992189708782635
286,-1.685296153553333,-2.8119134825108643,-3.057439093635104,0.00461044409150902
287,-1.627434072491808,-2.8138969959750053,-3.0263840602237364,-0.1417285834643054
288,-1.553039968269847,-2.8057854081015785,-2.9718677500211657,-0.34136435727040204
289,-1.5117099103687577,-2.789153727725789,-2.9007286664121295,-0.5723540393874903
290,-1.4579808350973416,-2.7673739678249047,-2.8227316827285756,-0.8085886066467578
291,-1.4104512685110886,-2.7430462735880705,-2.7473224466614727,-1.021681783420673
292,-1.389786239560544,-2.7167053766453653,-2.681224349723847,-1.185220779064633
293,-1.32779115270891,-2.6871019877980222,-2.6276028820254203,-1.279698468022119
294,-1.3091926266534197,-2.652579763041434,-2.58675668669791,-1.296025740453012
295,-1.2451310369067312,-2.6124917685376445,-2.5574358144301637,-1.2365144054242816
296,-1.1790029442649883,-2.567719766086337,-2.537782627358494,-1.1132538310501645
297,-1.1748699384748793,-2.5203163810014875,-2.525779378928278,-0.9444983603740378
298,-1.164537423999607,-2.4729326134941423,-2.519646542487887,-0.7502894420209044
299,-1.1480054008391711,-2.428265304256911,-2.518108301042161,-0.5487427661735369
300,-1.1790029442649883,-2.3885194267728496,-2.5203084232671586,-0.3538887450643162
301,-1.164537423999607,-2.3550291875290204,-2.5255325076572817,-0.17508661881661355
302,-1.195534967425424,-2.3282526407768573,-2.5330925621943376,-0.01747733378501062
303,-1.2058674819006963,-2.3080330583694497,-2.542403874616687,0.11714263612959933
304,-1.2079339847957509,-2.2938828254487316,-2.5530829504377586,0.2294097375565401
305,-1.1810694471600427,-2.2849816755868795,-2.5647534282898916,0.32154220721959925
306,-1.1624709211045525,-2.274223888881025,-2.570409618530223,0.39656380593683327
307,-1.1128748516232452,-2.2376681974267063,-2.5447180906159828,0.45722475763911785
308,-1.0467467589815023,-2.143987754712309,-2.45331473502205,0.5018684549959713
309,-0.9723526547595415,-1.982407269113919,-2.280826186066196,0.5145283503024094
310,-0.9144905736980163,-1.7749107241248199,-2.042585566271558,0.458330147002128
311,-0.833896960790892,-1.5627845437003085,-1.7731554628600248,0.2890109389381575
312,-0.7925669028898027,-1.3832288907628694,-1.5082831701357493,-0.013392658619243736
313,-0.6892417581370793,-1.2533959821001845,-1.2732859011448747,-0.4199069874149178
314,-0.6685767291865347,-1.168484201090264,-1.0801893262662035,-0.8560550275635165
315,-0.5569855728535933,-1.1100299596301324,-0.9301030131842557,-1.230455530593958
316,-0.4681259483662512,-1.057158763177459,-0.8175217638064224,-1.4689852375146109
317,-0.35446828913825545,-0.9953669923232972,-0.7348396864344156,-1.536476549080511
318,-0.2594091559657499,-0.9198686434139292,-0.675275609911252,-1.4397850287562388
319,-0.15401750831797204,-0.8338984191992596,-0.6336244756536704,-1.2165755779841794
320,-0.05275886646030308,-0.7447403580735963,-0.6058667795751831,-0.9183697300339501
321,0.05056627829242033,-0.6600787960740848,-0.5887371113482347,-0.5952834813798095
322,0.13942590277976247,-0.5857013435987652,-0.5794488048949548,-0.2864579275377404
323,0.2200195156868867,-0.5245525384182491,-0.5754235721944301,-0.016819032218012453
324,0.23510610273234758,-0.47704312282620964,-0.5743306368252502,0.20162656731994613
325,0.23731965797341403,-0.4419428286415617,-0.5743381688868677,0.36670178861950936
326,0.2405944451112071,-0.41709251275967313,-0.5741836693461019,0.48304631410650756
327,0.2443571335825222,-0.3998414508217995,-0.5730493585868771,0.5595389754661472
328,0.24803360755305573,-0.38749858505493184,-0.5705010003694441,0.6069156596222429
329,0.251050371139372,-0.3778878490325072,-0.5665965800433308,0.6356319046794043
